id,external_id,client,category,revenue,status,region,date,is_synthetic
40,,Synergy Partners,kitchen-accessories,2494.17,Completed,,2024-04-27,True
41,,NextGen,kitchen-accessories,1273.32,Processing,,2024-04-30,True
42,,Radiant Ventures,beauty,4740.05,Completed,,2024-05-03,True
43,,Summit Enterprises,mens-watches,4098.51,Processing,,2024-05-06,True
44,,VidaCare,mens-watches,4739.56,Processing,,2024-05-09,True
45,,SmartLabs,beauty,4374.92,Pending,,2024-05-12,True
46,,Prime Retail,beauty,3800.8,Processing,,2024-05-15,True
47,,Pioneer Tech,kitchen-accessories,2055.06,Shipped,,2024-05-18,True
48,,UrbanStyle,beauty,2312.28,Processing,,2024-05-21,True
49,,CloudOps,groceries,1756.62,Processing,,2024-05-24,True
50,,Vertex Solutions,home-decoration,135.24,Completed,,2024-05-27,True
51,,CloudOps,groceries,4536.56,Shipped,,2024-05-30,False
52,,NovaBank,beauty,1266.22,Pending,,2024-06-02,False
53,,Prime Retail,beauty,748.33,Pending,,2024-06-05,False
54,,CloudOps,mens-watches,4056.74,Processing,,2024-06-08,False
55,,EduPlus,groceries,3329.02,Shipped,,2024-06-11,False
56,,Global Ventures,mens-watches,2388.42,Completed,,2024-06-14,False
57,,Infinity Group,groceries,397.0,Shipped,,2024-06-17,False
58,,Quantum Solutions,groceries,1318.42,Processing,,2024-06-20,False
59,,Zenith Corp,mens-watches,786.89,Processing,,2024-06-23,False
60,,SmartLabs,mens-watches,1324.05,Completed,,2024-06-26,False
61,,UrbanStyle,beauty,579.75,Completed,,2024-06-29,False
62,,NovaBank,home-decoration,914.92,Pending,,2024-07-02,False
63,,HealthFirst,home-decoration,4336.79,Completed,,2024-07-05,False
64,,Delta Systems,mens-watches,110.56,Pending,,2024-07-08,False
65,,SmartLabs,mens-watches,1497.72,Pending,,2024-07-11,False
66,,VidaCare,home-decoration,1553.87,Completed,,2024-07-14,False
67,,Vertex Solutions,beauty,398.69,Shipped,,2024-07-17,False
68,,Beta Commerce,groceries,2962.47,Processing,,2024-07-20,False
69,,Beta Commerce,beauty,492.55,Processing,,2024-07-23,False
70,,NovaBank,beauty,433.01,Processing,,2024-07-26,False
71,,Bright Future,groceries,4713.82,Processing,,2024-07-29,False
72,,Vertex Solutions,beauty,294.73,Completed,,2024-08-01,False
73,,Global Ventures,beauty,2869.61,Shipped,,2024-08-04,False
74,,SmartLabs,home-decoration,3381.66,Shipped,,2024-08-07,False
75,,CloudOps,kitchen-accessories,2039.35,Shipped,,2024-08-10,False
76,,UrbanStyle,kitchen-accessories,4652.19,Completed,,2024-08-13,False
77,,Alfa Tech,mens-watches,3143.68,Completed,,2024-08-16,False
78,,NovaBank,beauty,1144.46,Shipped,,2024-08-19,False
79,,VidaCare,kitchen-accessories,4416.23,Processing,,2024-08-22,False
80,,NextGen,kitchen-accessories,872.96,Shipped,,2024-08-25,False
81,,Synergy Partners,beauty,138.33,Shipped,,2024-08-28,False
82,,Infinity Group,groceries,4700.76,Processing,,2024-08-31,False
83,,SmartLabs,groceries,4459.59,Processing,,2024-09-03,False
84,,SmartLabs,kitchen-accessories,3063.67,Shipped,,2024-09-06,False
85,,Prime Retail,kitchen-accessories,2576.5,Shipped,,2024-09-09,False
86,,Radiant Ventures,groceries,552.26,Pending,,2024-09-12,False
87,,Nexus Group,kitchen-accessories,316.03,Shipped,,2024-09-15,False
88,,Visionary Labs,home-decoration,3221.86,Shipped,,2024-09-18,False
89,,Delta Systems,mens-watches,2803.23,Pending,,2024-09-21,False
90,,Zenith Corp,groceries,648.18,Processing,,2024-09-24,False
91,,Zenith Corp,groceries,4189.52,Processing,,2024-09-27,False
92,,Global Ventures,home-decoration,304.96,Shipped,,2024-09-30,False
93,,Radiant Ventures,groceries,4504.73,Processing,,2024-10-03,False
94,,Infinity Group,home-decoration,3367.97,Shipped,,2024-10-06,False
95,,Visionary Labs,beauty,4432.26,Pending,,2024-10-09,False
96,,Synergy Partners,home-decoration,4636.24,Processing,,2024-10-12,False
97,,Eclipse Systems,home-decoration,4883.41,Processing,,2024-10-15,False
98,,Radiant Ventures,mens-watches,221.45,Shipped,,2024-10-18,False
99,,Quantum Solutions,mens-watches,4030.95,Processing,,2024-10-21,False
100,,SmartLabs,home-decoration,3958.14,Completed,,2024-10-24,False
101,45547807.0,AAPL,Market,0.0,Completed,,2026-02-26,False
102,51446075.0,MSFT,Market,0.0,Completed,,2026-01-29,False
103,74121593.0,GOOGL,Market,0.0,Completed,,2026-01-11,False
